title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,search_keyword,matched_ingredients
식물성 멜라토닌 한미 멜라치오 90정 + <b>수면</b> 보조 안대 <b>영양제</b> 타트체리 코스트코,https://smartstore.naver.com/main/products/12996159734,https://shopping-phinf.pstatic.net/main_9054067/90540670826.1.jpg,17980,,84년생 부엉이,90540670826,2,한미,한미양행,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌|타트체리
식물성멜라토닌 코이슬립 60정 미국 메라토닌 타트체리 감태추출물 효과효능 멀티멜라 L테아닌,https://smartstore.naver.com/main/products/10929164106,https://shopping-phinf.pstatic.net/main_8847367/88473670141.7.jpg,39800,,코이슬립 공식스토어,88473670141,2,,,식품,건강식품,영양제,멜라토닌,수면 영양제,테아닌|멜라토닌|타트체리|감태
"한풍네이처팜 식물성 멜라토닌 함유 멜라문 500mg x 60정, 1개",https://search.shopping.naver.com/catalog/57556596386,https://shopping-phinf.pstatic.net/main_5755659/57556596386.20251104115136.jpg,43800,,네이버,57556596386,1,,한풍네이처팜,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
가바멜라 멜라토닌 5mg GABA 750mg 식물성 유산균 발효 15포,https://smartstore.naver.com/main/products/12149433951,https://shopping-phinf.pstatic.net/main_8969394/89693944656.9.jpg,28800,,파마코바이오,89693944656,2,파마코바이오,,식품,건강식품,영양제,멜라토닌,수면 영양제,가바|멜라토닌
"로엘리 디슬립 <b>수면</b>보조제 식물성 멜라토닌 테아닌 트립토판 가바 <b>영양제</b> 30정, 1개",https://smartstore.naver.com/main/products/12693544967,https://shopping-phinf.pstatic.net/main_9023805/90238055891.1.jpg,49000,,로엘리 ROELLY,90238055891,2,,,식품,건강식품,영양제,멜라토닌,수면 영양제,테아닌|가바|멜라토닌|트립토판
뉴이떼 흑하랑 상추 초고함량 1000mg 식물성 멜라토닌 2.5mg 달잠 락투신 <b>수면</b>시,https://smartstore.naver.com/main/products/10240106566,https://shopping-phinf.pstatic.net/main_8778461/87784610156.14.jpg,35600,,건강푸릇,87784610156,3,건강푸릇,상상바이오,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
"건강한가득 식물성 멜라토닌 2mg 타트체리 <b>수면</b>보조제 굿나잇 플러스 60정, 1개",https://smartstore.naver.com/main/products/10592228919,https://shopping-phinf.pstatic.net/main_8813673/88136734509.9.jpg,24900,,건강한가득 공식몰,88136734509,3,,,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌|타트체리
식물성 멜라토닌 5mg 미국산 멜라바움 테아닌 트립토판 600mg,https://smartstore.naver.com/main/products/12638480890,https://shopping-phinf.pstatic.net/main_9018299/90182991797.5.jpg,18790,,바움엘 공식몰,90182991797,3,,,식품,건강식품,영양제,멜라토닌,수면 영양제,테아닌|멜라토닌|트립토판
고함량 식물성 멜라토닌 10mg 메라토닌 트립토판 세로토닌 미국 맥스,https://smartstore.naver.com/main/products/13053837392,https://shopping-phinf.pstatic.net/main_9059834/90598348485.jpg,46500,,AllProduct,90598348485,3,만년해로,,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌|트립토판
"비에스바이오 메디트리 식물성 멜라토닌 함유 멜라테닌 트리플 400mg x 30정, 1개",https://search.shopping.naver.com/catalog/56262331419,https://shopping-phinf.pstatic.net/main_5626233/56262331419.20250814152113.jpg,9900,,네이버,56262331419,1,메디트리,비에스바이오,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
"종근당 잘자 <b>수면</b>건강 아쉬아간다 600mg x 30정, 3개",https://search.shopping.naver.com/catalog/56780644509,https://shopping-phinf.pstatic.net/main_5678064/56780644509.20250918102929.jpg,80700,,네이버,56780644509,1,종근당,코스맥스엔비티,식품,건강식품,영양제,기타건강보조식품,수면 영양제,기타
"옵티헬스 굿나잇케어 락티움  800mg x 60정, 1개",https://search.shopping.naver.com/catalog/56927608891,https://shopping-phinf.pstatic.net/main_5692760/56927608891.20250925161500.jpg,22900,,네이버,56927608891,1,옵티헬스,노바렉스,식품,건강식품,영양제,기타건강보조식품,수면 영양제,락티움
"GNC 슬립 포뮬라 위드 아쉬아간다 600mg x 30정, 1개",https://search.shopping.naver.com/catalog/56773348712,https://shopping-phinf.pstatic.net/main_5677334/56773348712.20250917165004.jpg,25120,,네이버,56773348712,1,GNC,코스맥스엔비티,식품,건강식품,영양제,기타건강보조식품,수면 영양제,기타
"훈훈한푸드 저녁엔 흑하랑 상추 락투신 <b>수면영양제</b> 60정, 1개",https://search.shopping.naver.com/catalog/57905429605,https://shopping-phinf.pstatic.net/main_5790542/57905429605.20251125153530.jpg,22130,,네이버,57905429605,1,훈훈한푸드,콜마비앤에이치,식품,건강식품,영양제,기타건강보조식품,수면 영양제,기타
파이안 의사 스르르 식물성 멜라토닌 트립토판 <b>수면</b>키트 감태추출물,https://smartstore.naver.com/main/products/10733012742,https://shopping-phinf.pstatic.net/main_8827751/88277518664.jpg,20000,,파이안 스토어,88277518664,2,파이안,코지맘바이오,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌|트립토판|감태
피지스랩 트루멜라 2중배합 멜라토닌 함유 2mg 1세트,https://smartstore.naver.com/main/products/10969228457,https://shopping-phinf.pstatic.net/main_8851373/88513734501.1.jpg,33900,,피지스랩,88513734501,3,피지스랩,네이처코퍼레이션,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
모어네이처 락티움 <b>수면 영양제</b> 테아닌 보조제 30정 1박스 수면 질 개선 효능 꿀잠 케어,https://smartstore.naver.com/main/products/5752028950,https://shopping-phinf.pstatic.net/main_8329652/83296528364.22.jpg,31800,,모어네이처,83296528364,3,모어네이처,노바렉스,식품,건강식품,영양제,기타건강보조식품,수면 영양제,테아닌|락티움
피지스랩 트루멜라 2중배합 멜라토닌 함유 2mg 3세트,https://smartstore.naver.com/main/products/11236339138,https://shopping-phinf.pstatic.net/main_8878084/88780849469.1.jpg,84900,,피지스랩,88780849469,3,피지스랩,네이처코퍼레이션,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
슬립밸런스 - 슬립퓰라 아쉬아간다 감태추출물 <b>수면영양 제</b>품,https://smartstore.naver.com/main/products/2484535152,https://shopping-phinf.pstatic.net/main_1346136/13461365129.13.jpg,34800,,파이토뉴트리,13461365129,3,파이토뉴트리,한국씨엔에스팜,식품,건강식품,영양제,기타건강보조식품,수면 영양제,감태
"내츄럴플러스 스트레스엔 테아닌 마그네슘 비타민B6 긴장완화 60정, 1개",https://smartstore.naver.com/main/products/12148264943,https://shopping-phinf.pstatic.net/main_8969277/89692775647.jpg,13900,,내츄럴플러스,89692775647,3,내츄럴플러스,비오팜,식품,건강식품,영양제,테아닌,수면 영양제,테아닌|마그네슘
"나우푸드 L-테아닌 200mg x120캡슐, 1개",https://search.shopping.naver.com/catalog/53530620488,https://shopping-phinf.pstatic.net/main_5353062/53530620488.20250313155042.jpg,22900,,네이버,53530620488,1,나우푸드,나우푸드,식품,건강식품,영양제,테아닌,수면 영양제,테아닌
"나우푸드 L-트립토판 500mg 60정, 1개",https://search.shopping.naver.com/catalog/58689856214,https://shopping-phinf.pstatic.net/main_5868985/58689856214.20260128030652.jpg,10900,,네이버,58689856214,1,나우푸드,나우푸드,식품,건강식품,영양제,기타건강보조식품,수면 영양제,트립토판
"그린스토어 <b>수면</b>엔정 프라임 1000mg x 30정, 1개",https://search.shopping.naver.com/catalog/56927221117,https://shopping-phinf.pstatic.net/main_5692722/56927221117.20250925153139.jpg,22470,,네이버,56927221117,1,그린스토어,비엘헬스케어,식품,건강식품,영양제,기타건강보조식품,수면 영양제,기타
"투루멜라 트루멜라멜라토닌 <b>수면</b>보조제 2중배합멜라토닌 잠잘오는<b>영양제</b> 60정, 1개",https://smartstore.naver.com/main/products/12978341101,https://shopping-phinf.pstatic.net/main_9052285/90522852111.jpg,21900,,닥터씨드,90522852111,2,,,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
"뉴트리포뮬러 식물성 멜라토닌 함유 멜라그린 600mg x 30정, 1개",https://search.shopping.naver.com/catalog/58231058344,https://shopping-phinf.pstatic.net/main_5823105/58231058344.20251222152957.jpg,28700,,네이버,58231058344,1,뉴트리포뮬러,,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
